time,open,high,low,close,Volume,Volume MA,pctc,mark,time_since_start,time_since_start_seconds,time_since_last_event,time_since_last_event_seconds
2020-11-03 18:30:00+00:00,518.9,519.87,515.57,517.27,18765.0,33818.6,-0.001910238104426365,4,552 days 05:00:00,795180.0,0 days 01:00:00,60.0
2020-11-03 19:30:00+00:00,516.95,520.92,516.8,520.92,22685.0,33082.8,0.007056276219382429,4,552 days 06:00:00,795240.0,0 days 01:00:00,60.0
2020-11-03 20:30:00+00:00,520.93,524.095,520.4,520.78,50589.0,32818.5,-0.0002687552791215131,4,552 days 07:00:00,795300.0,0 days 01:00:00,60.0
2020-11-04 14:30:00+00:00,536.15,547.05,533.74,545.69,84111.0,32857.05,0.04783209800683608,6,553 days 01:00:00,796380.0,56 days 01:00:00,80700.0
2020-11-04 15:30:00+00:00,546.35,546.71,540.46,544.0,35248.0,32999.95,-0.003096996463193502,4,553 days 02:00:00,796440.0,0 days 19:00:00,1140.0
2020-11-04 16:30:00+00:00,544.0,549.36,543.62,548.79,25192.0,31904.3,0.008805147058823515,4,553 days 03:00:00,796500.0,0 days 01:00:00,60.0
2020-11-04 17:30:00+00:00,548.82,550.35,545.79,547.65,31983.0,32014.2,-0.0020772973268463613,4,553 days 04:00:00,796560.0,0 days 01:00:00,60.0
2020-11-04 18:30:00+00:00,547.95,551.26,547.49,550.81,27218.0,31002.6,0.00577010864603289,4,553 days 05:00:00,796620.0,0 days 01:00:00,60.0
2020-11-04 19:30:00+00:00,550.98,552.99,549.36,550.56,42712.0,29698.0,-0.00045387701748333953,4,553 days 06:00:00,796680.0,0 days 01:00:00,60.0
2020-11-04 20:30:00+00:00,550.98,553.05,548.64,551.82,34672.0,28688.2,0.0022885789014823743,4,553 days 07:00:00,796740.0,0 days 01:00:00,60.0
2020-11-05 14:30:00+00:00,566.23,573.39,560.93,564.65,91539.0,32290.3,0.023250335254249466,5,554 days 01:00:00,797820.0,2 days 00:00:00,2880.0
2020-11-05 15:30:00+00:00,564.52,567.51,562.3,566.67,26388.0,32930.95,0.0035774373505710333,4,554 days 02:00:00,797880.0,0 days 19:00:00,1140.0
